class_name,precision,recall,f1-score,support
be_injured_by_a_collision,0.6666666666666666,0.8888888888888888,0.7619047619047619,9.0
clean_sample,0.9801980198019802,0.9611650485436893,0.9705882352941176,103.0
coating_cracking,1.0,1.0,1.0,4.0
convex_powder,0.7,1.0,0.8235294117647058,7.0
crazing,1.0,1.0,1.0,30.0
dirty_spot,0.9285714285714286,0.5909090909090909,0.7222222222222222,22.0
drain_bottom,0.9666666666666667,1.0,0.9830508474576272,29.0
inclusion,0.9090909090909091,1.0,0.9523809523809523,30.0
non_conducting,1.0,0.6,0.75,5.0
orange_peel,0.8181818181818182,1.0,0.9,9.0
patches,1.0,1.0,1.0,31.0
pitted_surface,1.0,0.9,0.9473684210526315,30.0
pitting,1.0,1.0,1.0,6.0
rolled_in_scale,1.0,1.0,1.0,30.0
scratches,1.0,1.0,1.0,30.0
scuffing,0.5789473684210527,0.6875,0.6285714285714286,16.0
the_transverse_strip_is_dented,1.0,1.0,1.0,6.0
